gene,seqname,Single_copy.Broc_Anan_Tilla.,Low_copy.Broc_Anan_Tilla.,High_copy.Broc_Anan_Tilla.,Diff_expressed_CAMC3,pos_selection_CAM_shifts,gene_families_CAMC3,Angiosperm_gene,CAM-related_Acomosus_Ming2015,stomata_func,aquaporin_reg,draught_res,markers,anthocyanin_SI_Ananas,circadian_metabolism_Wai2017,malateTransferase_Assimilation_Carbohydrates,fllavonoid_anthocyanin_Pitcairnia_PS,pos_sel_portullugo,glucogenesis_glycolysis,circadian_clock,type,average_exon_size,nr_exons_per_gene,total_exonic_size,min_exon_size
Aco000037,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,593.25,4,2373,116
Aco000127,LG12,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,299,2,598,254
Aco000152,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,381,4,1524,152
Aco000167,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1268,1,1268,1268
Aco000168,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2180,1,2180,2180
Aco000180,LG12,yes,no,no,NA,NA,NA,7067,,,,,,,,,NA,NA,,,NA,136.3333333,9,1227,26
Aco000195,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,937.5,2,1875,514
Aco000210,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,226.8571429,7,1588,93
Aco000215,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,532.25,4,2129,196
Aco000229,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1028,2,2056,459
Aco000232,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,564.5,2,1129,520
Aco000252,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_CircadianOscillator_flavin-bindind_kelch-repeat_fbox1,1099,2,2198,410
